Year,Month,Day,Hour,Sirindhorn,BangLangDam,BhumibolDam,ChulabhornDam,KaengKrachanDam,KiridharnDam,LamTakhongJVDam,PakMunDam,RajjaprabhaDam,SirikitDam,SrinagarindDam,ThungNaDam,UbolratanaDam,VajiralongkornDam
1986,1,1,0,7,0,187.4,7.9,12.2,8.7,87.4,7.7,76.4,139.6,102.3,2.6,11.7,0
1986,1,1,1,7,0,187.4,7.9,12.2,8.7,87.4,7.7,76.4,139.6,102.3,2.6,11.7,0
1986,1,1,2,7,0,187.4,7.9,12.2,8.7,87.4,7.7,76.4,139.6,102.3,2.6,11.7,0
1986,1,1,3,7,0,187.4,7.9,12.2,8.7,87.4,7.7,76.4,139.6,102.3,2.6,11.7,0
1986,1,1,4,7,0,187.4,7.9,12.2,8.7,87.4,7.7,76.4,139.6,102.3,2.6,11.7,0
1986,1,1,5,7,0,187.4,7.9,12.2,8.7,87.4,7.7,76.4,139.6,102.3,2.6,11.7,0
1986,1,1,6,7,0,187.4,7.9,12.2,8.7,87.4,7.7,76.4,139.6,102.3,2.6,11.7,0
1986,1,1,7,7,0,187.4,7.9,12.2,8.7,87.4,7.7,76.4,139.6,102.3,2.6,11.7,0
1986,1,1,8,7,0,187.4,7.9,12.2,8.7,87.4,7.7,76.4,139.6,102.3,2.6,11.7,0
1986,1,1,9,7,0,187.4,7.9,12.2,8.7,87.4,7.7,76.4,139.6,102.3,2.6,11.7,0
1986,1,1,10,7,0,187.4,7.9,12.2,8.7,87.4,7.7,76.4,139.6,102.3,2.6,11.7,0
1986,1,1,11,7,0,187.4,7.9,12.2,8.7,87.4,7.7,76.4,139.6,102.3,2.6,11.7,0
1986,1,1,12,7,0,187.4,7.9,12.2,8.7,87.4,7.7,76.4,139.6,102.3,2.6,11.7,0
1986,1,1,13,7,0,187.4,7.9,12.2,8.7,87.4,7.7,76.4,139.6,102.3,2.6,11.7,0
1986,1,1,14,7,0,187.4,7.9,12.2,8.7,87.4,7.7,76.4,139.6,102.3,2.6,11.7,0
1986,1,1,15,7,0,187.4,7.9,12.2,8.7,87.4,7.7,76.4,139.6,102.3,2.6,11.7,0
1986,1,1,16,7,0,187.4,7.9,12.2,8.7,87.4,7.7,76.4,139.6,102.3,2.6,11.7,0
1986,1,1,17,7,0,187.4,7.9,12.2,8.7,87.4,7.7,76.4,139.6,102.3,2.6,11.7,0
1986,1,1,18,7,0,187.4,7.9,12.2,8.7,87.4,7.7,76.4,139.6,102.3,2.6,11.7,0
1986,1,1,19,7,0,187.4,7.9,12.2,8.7,87.4,7.7,76.4,139.6,102.3,2.6,11.7,0
1986,1,1,20,7,0,187.4,7.9,12.2,8.7,87.4,7.7,76.4,139.6,102.3,2.6,11.7,0
1986,1,1,21,7,0,187.4,7.9,12.2,8.7,87.4,7.7,76.4,139.6,102.3,2.6,11.7,0
1986,1,1,22,7,0,187.4,7.9,12.2,8.7,87.4,7.7,76.4,139.6,102.3,2.6,11.7,0
1986,1,1,23,7,0,187.4,7.9,12.2,8.7,87.4,7.7,76.4,139.6,102.3,2.6,11.7,0
1986,1,2,0,6.9,0,187.1,7.9,12.1,8.6,86.4,7.5,76.3,139.5,102.2,2.5,11.7,0
1986,1,2,1,6.9,0,187.1,7.9,12.1,8.6,86.4,7.5,76.3,139.5,102.2,2.5,11.7,0
1986,1,2,2,6.9,0,187.1,7.9,12.1,8.6,86.4,7.5,76.3,139.5,102.2,2.5,11.7,0
1986,1,2,3,6.9,0,187.1,7.9,12.1,8.6,86.4,7.5,76.3,139.5,102.2,2.5,11.7,0
1986,1,2,4,6.9,0,187.1,7.9,12.1,8.6,86.4,7.5,76.3,139.5,102.2,2.5,11.7,0
1986,1,2,5,6.9,0,187.1,7.9,12.1,8.6,86.4,7.5,76.3,139.5,102.2,2.5,11.7,0
1986,1,2,6,6.9,0,187.1,7.9,12.1,8.6,86.4,7.5,76.3,139.5,102.2,2.5,11.7,0
1986,1,2,7,6.9,0,187.1,7.9,12.1,8.6,86.4,7.5,76.3,139.5,102.2,2.5,11.7,0
1986,1,2,8,6.9,0,187.1,7.9,12.1,8.6,86.4,7.5,76.3,139.5,102.2,2.5,11.7,0
1986,1,2,9,6.9,0,187.1,7.9,12.1,8.6,86.4,7.5,76.3,139.5,102.2,2.5,11.7,0
1986,1,2,10,6.9,0,187.1,7.9,12.1,8.6,86.4,7.5,76.3,139.5,102.2,2.5,11.7,0
1986,1,2,11,6.9,0,187.1,7.9,12.1,8.6,86.4,7.5,76.3,139.5,102.2,2.5,11.7,0
1986,1,2,12,6.9,0,187.1,7.9,12.1,8.6,86.4,7.5,76.3,139.5,102.2,2.5,11.7,0
1986,1,2,13,6.9,0,187.1,7.9,12.1,8.6,86.4,7.5,76.3,139.5,102.2,2.5,11.7,0
1986,1,2,14,6.9,0,187.1,7.9,12.1,8.6,86.4,7.5,76.3,139.5,102.2,2.5,11.7,0
1986,1,2,15,6.9,0,187.1,7.9,12.1,8.6,86.4,7.5,76.3,139.5,102.2,2.5,11.7,0
1986,1,2,16,6.9,0,187.1,7.9,12.1,8.6,86.4,7.5,76.3,139.5,102.2,2.5,11.7,0
1986,1,2,17,6.9,0,187.1,7.9,12.1,8.6,86.4,7.5,76.3,139.5,102.2,2.5,11.7,0
1986,1,2,18,6.9,0,187.1,7.9,12.1,8.6,86.4,7.5,76.3,139.5,102.2,2.5,11.7,0
1986,1,2,19,6.9,0,187.1,7.9,12.1,8.6,86.4,7.5,76.3,139.5,102.2,2.5,11.7,0
1986,1,2,20,6.9,0,187.1,7.9,12.1,8.6,86.4,7.5,76.3,139.5,102.2,2.5,11.7,0
1986,1,2,21,6.9,0,187.1,7.9,12.1,8.6,86.4,7.5,76.3,139.5,102.2,2.5,11.7,0
1986,1,2,22,6.9,0,187.1,7.9,12.1,8.6,86.4,7.5,76.3,139.5,102.2,2.5,11.7,0
1986,1,2,23,6.9,0,187.1,7.9,12.1,8.6,86.4,7.5,76.3,139.5,102.2,2.5,11.7,0
1986,1,3,0,6.8,0,186.7,7.9,12.1,8.6,85.5,7.2,76.2,139.4,102.1,2.4,11.7,64.2
1986,1,3,1,6.8,0,186.7,7.9,12.1,8.6,85.5,7.2,76.2,139.4,102.1,2.4,11.7,64.2
1986,1,3,2,6.8,0,186.7,7.9,12.1,8.6,85.5,7.2,76.2,139.4,102.1,2.4,11.7,64.2
1986,1,3,3,6.8,0,186.7,7.9,12.1,8.6,85.5,7.2,76.2,139.4,102.1,2.4,11.7,64.2
1986,1,3,4,6.8,0,186.7,7.9,12.1,8.6,85.5,7.2,76.2,139.4,102.1,2.4,11.7,64.2
1986,1,3,5,6.8,0,186.7,7.9,12.1,8.6,85.5,7.2,76.2,139.4,102.1,2.4,11.7,64.2
1986,1,3,6,6.8,0,186.7,7.9,12.1,8.6,85.5,7.2,76.2,139.4,102.1,2.4,11.7,64.2
1986,1,3,7,6.8,0,186.7,7.9,12.1,8.6,85.5,7.2,76.2,139.4,102.1,2.4,11.7,64.2
1986,1,3,8,6.8,0,186.7,7.9,12.1,8.6,85.5,7.2,76.2,139.4,102.1,2.4,11.7,64.2
1986,1,3,9,6.8,0,186.7,7.9,12.1,8.6,85.5,7.2,76.2,139.4,102.1,2.4,11.7,64.2
1986,1,3,10,6.8,0,186.7,7.9,12.1,8.6,85.5,7.2,76.2,139.4,102.1,2.4,11.7,64.2
