,Node,Time,Value
0,Chaiyaphum1,1,25.8
1,Chaiyaphum1,2,25.8
2,Chaiyaphum1,3,25.8
3,Chaiyaphum1,4,25.8
4,Chaiyaphum1,5,25.8
5,Chaiyaphum1,6,25.8
6,Chaiyaphum1,7,25.8
7,Chaiyaphum1,8,25.8
8,Chaiyaphum1,9,25.8
9,Chaiyaphum1,10,25.8
10,Chaiyaphum1,11,25.8
11,Chaiyaphum1,12,25.8
12,Chaiyaphum1,13,25.8
13,Chaiyaphum1,14,25.8
14,Chaiyaphum1,15,25.8
15,Chaiyaphum1,16,25.8
16,Chaiyaphum1,17,25.8
17,Chaiyaphum1,18,25.8
18,Chaiyaphum1,19,25.8
19,Chaiyaphum1,20,25.8
20,Chaiyaphum1,21,25.8
21,Chaiyaphum1,22,25.8
22,Chaiyaphum1,23,25.8
23,Chaiyaphum1,24,25.8
24,NakhonRatchasima2,1,40.8
25,NakhonRatchasima2,2,40.8
26,NakhonRatchasima2,3,40.8
27,NakhonRatchasima2,4,40.8
28,NakhonRatchasima2,5,40.8
29,NakhonRatchasima2,6,40.8
30,NakhonRatchasima2,7,40.8
31,NakhonRatchasima2,8,40.8
32,NakhonRatchasima2,9,40.8
33,NakhonRatchasima2,10,40.8
34,NakhonRatchasima2,11,40.8
35,NakhonRatchasima2,12,40.8
36,NakhonRatchasima2,13,40.8
37,NakhonRatchasima2,14,40.8
38,NakhonRatchasima2,15,40.8
39,NakhonRatchasima2,16,40.8
40,NakhonRatchasima2,17,40.8
41,NakhonRatchasima2,18,40.8
42,NakhonRatchasima2,19,40.8
43,NakhonRatchasima2,20,40.8
44,NakhonRatchasima2,21,40.8
45,NakhonRatchasima2,22,40.8
46,NakhonRatchasima2,23,40.8
47,NakhonRatchasima2,24,40.8
48,Chaiyaphum1,25,22.7
49,Chaiyaphum1,26,22.7
50,Chaiyaphum1,27,22.7
51,Chaiyaphum1,28,22.7
52,Chaiyaphum1,29,22.7
53,Chaiyaphum1,30,22.7
54,Chaiyaphum1,31,22.7
55,Chaiyaphum1,32,22.7
56,Chaiyaphum1,33,22.7
57,Chaiyaphum1,34,22.7
58,Chaiyaphum1,35,22.7
59,Chaiyaphum1,36,22.7
60,Chaiyaphum1,37,22.7
61,Chaiyaphum1,38,22.7
62,Chaiyaphum1,39,22.7
63,Chaiyaphum1,40,22.7
64,Chaiyaphum1,41,22.7
65,Chaiyaphum1,42,22.7
66,Chaiyaphum1,43,22.7
67,Chaiyaphum1,44,22.7
68,Chaiyaphum1,45,22.7
