,Node,Time,Value
0,VajiralongkornDam,4345,50.6
1,VajiralongkornDam,4346,50.6
2,VajiralongkornDam,4347,50.6
3,VajiralongkornDam,4348,50.6
4,VajiralongkornDam,4349,50.6
5,VajiralongkornDam,4350,50.6
6,VajiralongkornDam,4351,50.6
7,VajiralongkornDam,4352,50.6
8,VajiralongkornDam,4353,50.6
9,VajiralongkornDam,4354,50.6
10,VajiralongkornDam,4355,50.6
11,VajiralongkornDam,4356,50.6
12,VajiralongkornDam,4357,50.6
13,VajiralongkornDam,4358,50.6
14,VajiralongkornDam,4359,50.6
15,VajiralongkornDam,4360,50.6
16,VajiralongkornDam,4361,50.6
17,VajiralongkornDam,4362,50.6
18,VajiralongkornDam,4363,50.6
19,VajiralongkornDam,4364,50.6
20,VajiralongkornDam,4365,50.6
21,VajiralongkornDam,4366,50.6
22,VajiralongkornDam,4367,50.6
23,VajiralongkornDam,4368,50.6
24,KaengKrachanDam,4345,0.0
25,KaengKrachanDam,4346,0.0
26,KaengKrachanDam,4347,0.0
27,KaengKrachanDam,4348,0.0
28,KaengKrachanDam,4349,0.0
29,KaengKrachanDam,4350,0.0
30,KaengKrachanDam,4351,0.0
31,KaengKrachanDam,4352,0.0
32,KaengKrachanDam,4353,0.0
33,KaengKrachanDam,4354,0.0
34,KaengKrachanDam,4355,0.0
35,KaengKrachanDam,4356,0.0
36,KaengKrachanDam,4357,0.0
37,KaengKrachanDam,4358,0.0
38,KaengKrachanDam,4359,0.0
39,KaengKrachanDam,4360,0.0
40,KaengKrachanDam,4361,0.0
41,KaengKrachanDam,4362,0.0
42,KaengKrachanDam,4363,0.0
43,KaengKrachanDam,4364,0.0
44,KaengKrachanDam,4365,0.0
45,KaengKrachanDam,4366,0.0
46,KaengKrachanDam,4367,0.0
47,KaengKrachanDam,4368,0.0
48,KiridharnDam,4345,3.3
49,KiridharnDam,4346,3.3
50,KiridharnDam,4347,3.3
51,KiridharnDam,4348,3.3
52,KiridharnDam,4349,3.3
53,KiridharnDam,4350,3.3
54,KiridharnDam,4351,3.3
55,KiridharnDam,4352,3.3
56,KiridharnDam,4353,3.3
57,KiridharnDam,4354,3.3
58,KiridharnDam,4355,3.3
59,KiridharnDam,4356,3.3
60,KiridharnDam,4357,3.3
61,KiridharnDam,4358,3.3
62,KiridharnDam,4359,3.3
63,KiridharnDam,4360,3.3
64,KiridharnDam,4361,3.3
65,KiridharnDam,4362,3.3
66,KiridharnDam,4363,3.3
67,KiridharnDam,4364,3.3
68,KiridharnDam,4365,3.3
69,KiridharnDam,4366,3.3
70,KiridharnDam,4367,3.3
71,KiridharnDam,4368,3.3
72,RajjaprabhaDam,4345,54.5
73,RajjaprabhaDam,4346,54.5
74,RajjaprabhaDam,4347,54.5
75,RajjaprabhaDam,4348,54.5
76,RajjaprabhaDam,4349,54.5
77,RajjaprabhaDam,4350,54.5
78,RajjaprabhaDam,4351,54.5
79,RajjaprabhaDam,4352,54.5
80,RajjaprabhaDam,4353,54.5
81,RajjaprabhaDam,4354,54.5
82,RajjaprabhaDam,4355,54.5
83,RajjaprabhaDam,4356,54.5
84,RajjaprabhaDam,4357,54.5
85,RajjaprabhaDam,4358,54.5
86,RajjaprabhaDam,4359,54.5
87,RajjaprabhaDam,4360,54.5
88,RajjaprabhaDam,4361,54.5
89,RajjaprabhaDam,4362,54.5
90,RajjaprabhaDam,4363,54.5
91,RajjaprabhaDam,4364,54.5
92,RajjaprabhaDam,4365,54.5
93,RajjaprabhaDam,4366,54.5
94,RajjaprabhaDam,4367,54.5
95,RajjaprabhaDam,4368,54.5
96,ThungNaDam,4345,0.0
97,ThungNaDam,4346,0.0
98,ThungNaDam,4347,0.0
99,ThungNaDam,4348,0.0
100,ThungNaDam,4349,0.0
101,ThungNaDam,4350,0.0
102,ThungNaDam,4351,0.0
103,ThungNaDam,4352,0.0
104,ThungNaDam,4353,0.0
105,ThungNaDam,4354,0.0
106,ThungNaDam,4355,0.0
107,ThungNaDam,4356,0.0
108,ThungNaDam,4357,0.0
109,ThungNaDam,4358,0.0
110,ThungNaDam,4359,0.0
111,ThungNaDam,4360,0.0
112,ThungNaDam,4361,0.0
113,ThungNaDam,4362,0.0
114,ThungNaDam,4363,0.0
115,ThungNaDam,4364,0.0
116,ThungNaDam,4365,0.0
117,ThungNaDam,4366,0.0
118,ThungNaDam,4367,0.0
119,ThungNaDam,4368,0.0
120,SrinagarindDam,4345,92.4
121,SrinagarindDam,4346,92.4
122,SrinagarindDam,4347,92.4
123,SrinagarindDam,4348,92.4
