,Node,Time,Value
0,NamNgum2,4345,185.912
1,NamNgum2,4346,185.912
2,NamNgum2,4347,185.912
3,NamNgum2,4348,185.912
4,NamNgum2,4349,185.912
5,NamNgum2,4350,185.912
6,NamNgum2,4351,185.912
7,NamNgum2,4352,185.912
8,NamNgum2,4353,185.912
9,NamNgum2,4354,185.912
10,NamNgum2,4355,185.912
11,NamNgum2,4356,185.912
12,NamNgum2,4357,185.912
13,NamNgum2,4358,185.912
14,NamNgum2,4359,185.912
15,NamNgum2,4360,185.912
16,NamNgum2,4361,185.912
17,NamNgum2,4362,185.912
18,NamNgum2,4363,185.912
19,NamNgum2,4364,185.912
20,NamNgum2,4365,185.912
21,NamNgum2,4366,185.912
22,NamNgum2,4367,185.912
23,NamNgum2,4368,185.912
24,NamNgum1,4345,120.7
25,NamNgum1,4346,120.7
26,NamNgum1,4347,120.7
27,NamNgum1,4348,120.7
28,NamNgum1,4349,120.7
29,NamNgum1,4350,120.7
30,NamNgum1,4351,120.7
31,NamNgum1,4352,120.7
32,NamNgum1,4353,120.7
33,NamNgum1,4354,120.7
34,NamNgum1,4355,120.7
35,NamNgum1,4356,120.7
36,NamNgum1,4357,120.7
37,NamNgum1,4358,120.7
38,NamNgum1,4359,120.7
39,NamNgum1,4360,120.7
40,NamNgum1,4361,120.7
41,NamNgum1,4362,120.7
42,NamNgum1,4363,120.7
43,NamNgum1,4364,120.7
44,NamNgum1,4365,120.7
45,NamNgum1,4366,120.7
46,NamNgum1,4367,120.7
47,NamNgum1,4368,120.7
48,TheunHinboun,4345,460.0
49,TheunHinboun,4346,460.0
50,TheunHinboun,4347,460.0
51,TheunHinboun,4348,460.0
52,TheunHinboun,4349,460.0
53,TheunHinboun,4350,460.0
54,TheunHinboun,4351,460.0
55,TheunHinboun,4352,460.0
56,TheunHinboun,4353,460.0
57,TheunHinboun,4354,460.0
58,TheunHinboun,4355,460.0
59,TheunHinboun,4356,460.0
60,TheunHinboun,4357,460.0
61,TheunHinboun,4358,460.0
62,TheunHinboun,4359,460.0
63,TheunHinboun,4360,460.0
64,TheunHinboun,4361,460.0
65,TheunHinboun,4362,460.0
66,TheunHinboun,4363,460.0
67,TheunHinboun,4364,460.0
68,TheunHinboun,4365,460.0
69,TheunHinboun,4366,460.0
70,TheunHinboun,4367,460.0
71,TheunHinboun,4368,460.0
72,Xeset2,4345,31.25
73,Xeset2,4346,31.25
74,Xeset2,4347,31.25
75,Xeset2,4348,31.25
76,Xeset2,4349,31.25
77,Xeset2,4350,31.25
78,Xeset2,4351,31.25
79,Xeset2,4352,31.25
80,Xeset2,4353,31.25
81,Xeset2,4354,31.25
82,Xeset2,4355,31.25
83,Xeset2,4356,31.25
84,Xeset2,4357,31.25
85,Xeset2,4358,31.25
86,Xeset2,4359,31.25
87,Xeset2,4360,31.25
88,Xeset2,4361,31.25
89,Xeset2,4362,31.25
90,Xeset2,4363,31.25
91,Xeset2,4364,31.25
92,Xeset2,4365,31.25
93,Xeset2,4366,31.25
94,Xeset2,4367,31.25
95,Xeset2,4368,31.25
96,Xeset1,4345,45.0
97,Xeset1,4346,45.0
98,Xeset1,4347,45.0
99,Xeset1,4348,45.0
100,Xeset1,4349,45.0
101,Xeset1,4350,45.0
102,Xeset1,4351,45.0
103,Xeset1,4352,45.0
104,Xeset1,4353,45.0
105,Xeset1,4354,45.0
106,Xeset1,4355,45.0
107,Xeset1,4356,45.0
108,Xeset1,4357,45.0
109,Xeset1,4358,45.0
110,Xeset1,4359,45.0
111,Xeset1,4360,45.0
112,Xeset1,4361,45.0
113,Xeset1,4362,45.0
114,Xeset1,4363,45.0
115,Xeset1,4364,45.0
116,Xeset1,4365,45.0
117,Xeset1,4366,45.0
118,Xeset1,4367,45.0
119,Xeset1,4368,45.0
120,NamLeuk,4345,60.0
121,NamLeuk,4346,60.0
122,NamLeuk,4347,60.0
123,NamLeuk,4348,60.0
124,NamLeuk,4349,60.0
125,NamLeuk,4350,60.0
126,NamLeuk,4351,60.0
