,Node,Time,Value
0,Sukhothai,4345,0.0
1,Sukhothai,4346,0.0
2,Sukhothai,4347,0.0
3,Sukhothai,4348,0.0
4,Sukhothai,4349,0.0
5,Sukhothai,4350,0.0
6,Sukhothai,4351,0.72
7,Sukhothai,4352,1.68
8,Sukhothai,4353,2.4
9,Sukhothai,4354,3.84
10,Sukhothai,4355,4.8
11,Sukhothai,4356,5.52
12,Sukhothai,4357,4.8
13,Sukhothai,4358,3.84
14,Sukhothai,4359,3.12
15,Sukhothai,4360,2.4
16,Sukhothai,4361,1.68
17,Sukhothai,4362,0.72
18,Sukhothai,4363,0.0
19,Sukhothai,4364,0.0
20,Sukhothai,4365,0.0
21,Sukhothai,4366,0.0
22,Sukhothai,4367,0.0
23,Sukhothai,4368,0.0
24,Phrae,4345,0.0
25,Phrae,4346,0.0
26,Phrae,4347,0.0
27,Phrae,4348,0.0
28,Phrae,4349,0.0
29,Phrae,4350,0.0
30,Phrae,4351,1.44
31,Phrae,4352,2.64
32,Phrae,4353,4.08
33,Phrae,4354,6.72
34,Phrae,4355,8.16
35,Phrae,4356,9.36
36,Phrae,4357,8.16
37,Phrae,4358,6.72
38,Phrae,4359,5.28
39,Phrae,4360,4.08
40,Phrae,4361,2.64
41,Phrae,4362,1.44
42,Phrae,4363,0.0
43,Phrae,4364,0.0
44,Phrae,4365,0.0
45,Phrae,4366,0.0
46,Phrae,4367,0.0
47,Phrae,4368,0.0
48,NakhonNayok,4345,0.0
49,NakhonNayok,4346,0.0
50,NakhonNayok,4347,0.0
51,NakhonNayok,4348,0.0
52,NakhonNayok,4349,0.0
53,NakhonNayok,4350,0.0
54,NakhonNayok,4351,1.2
55,NakhonNayok,4352,2.4
56,NakhonNayok,4353,3.6
57,NakhonNayok,4354,6.0
58,NakhonNayok,4355,7.2
59,NakhonNayok,4356,8.16
60,NakhonNayok,4357,7.2
61,NakhonNayok,4358,6.0
62,NakhonNayok,4359,4.8
63,NakhonNayok,4360,3.6
64,NakhonNayok,4361,2.4
65,NakhonNayok,4362,1.2
66,NakhonNayok,4363,0.0
67,NakhonNayok,4364,0.0
68,NakhonNayok,4365,0.0
69,NakhonNayok,4366,0.0
70,NakhonNayok,4367,0.0
71,NakhonNayok,4368,0.0
72,NakhonChaisi,4345,0.0
73,NakhonChaisi,4346,0.0
74,NakhonChaisi,4347,0.0
75,NakhonChaisi,4348,0.0
76,NakhonChaisi,4349,0.0
77,NakhonChaisi,4350,0.0
78,NakhonChaisi,4351,8.64
79,NakhonChaisi,4352,17.28
80,NakhonChaisi,4353,25.92
81,NakhonChaisi,4354,42.96
82,NakhonChaisi,4355,51.6
83,NakhonChaisi,4356,60.24
84,NakhonChaisi,4357,51.6
85,NakhonChaisi,4358,42.96
86,NakhonChaisi,4359,34.56
87,NakhonChaisi,4360,25.92
88,NakhonChaisi,4361,17.28
89,NakhonChaisi,4362,8.64
90,NakhonChaisi,4363,0.0
91,NakhonChaisi,4364,0.0
92,NakhonChaisi,4365,0.0
93,NakhonChaisi,4366,0.0
94,NakhonChaisi,4367,0.0
95,NakhonChaisi,4368,0.0
96,NakhonPhanom,4345,0.0
97,NakhonPhanom,4346,0.0
98,NakhonPhanom,4347,0.0
99,NakhonPhanom,4348,0.0
100,NakhonPhanom,4349,0.0
101,NakhonPhanom,4350,0.0
102,NakhonPhanom,4351,1.44
103,NakhonPhanom,4352,2.88
104,NakhonPhanom,4353,4.32
105,NakhonPhanom,4354,7.2
106,NakhonPhanom,4355,8.64
107,NakhonPhanom,4356,10.08
108,NakhonPhanom,4357,8.64
109,NakhonPhanom,4358,7.2
110,NakhonPhanom,4359,5.76
111,NakhonPhanom,4360,4.32
112,NakhonPhanom,4361,2.88
113,NakhonPhanom,4362,1.44
114,NakhonPhanom,4363,0.0
115,NakhonPhanom,4364,0.0
116,NakhonPhanom,4365,0.0
117,NakhonPhanom,4366,0.0
118,NakhonPhanom,4367,0.0
119,NakhonPhanom,4368,0.0
120,PranBuri,4345,0.0
121,PranBuri,4346,0.0
122,PranBuri,4347,0.0
123,PranBuri,4348,0.0
124,PranBuri,4349,0.0
125,PranBuri,4350,0.0
126,PranBuri,4351,0.48
127,PranBuri,4352,0.72
128,PranBuri,4353,1.2
129,PranBuri,4354,1.92
130,PranBuri,4355,2.4
131,PranBuri,4356,2.64
132,PranBuri,4357,2.4
133,PranBuri,4358,1.92
134,PranBuri,4359,1.68
135,PranBuri,4360,1.2
136,PranBuri,4361,0.72
137,PranBuri,4362,0.48
138,PranBuri,4363,0.0
139,PranBuri,4364,0.0
140,PranBuri,4365,0.0
141,PranBuri,4366,0.0
142,PranBuri,4367,0.0
143,PranBuri,4368,0.0
144,LopBuri2,4345,0.0
145,LopBuri2,4346,0.0
146,LopBuri2,4347,0.0
147,LopBuri2,4348,0.0
148,LopBuri2,4349,0.0
149,LopBuri2,4350,0.0
150,LopBuri2,4351,5.52
151,LopBuri2,4352,10.8
152,LopBuri2,4353,16.32
153,LopBuri2,4354,27.12
154,LopBuri2,4355,32.4
155,LopBuri2,4356,37.92
156,LopBuri2,4357,32.4
